pH,TDS_ppm,Turbidity_NTU,Temperature_C,Label
6.96,173.9,0.6,22.08,Safe
7.37,100,1.31,22.84,Safe
7.43,196.9,0.61,22.93,Safe
6.97,100.3,2.09,22.13,Safe
7.02,173.2,2.06,21.6,Safe
7.05,127.1,1.41,23.02,Safe
7.12,203.4,1.23,23.12,Safe
7.12,161.1,2.88,22.69,Safe
7.01,128.7,0.61,21.77,Safe
7.66,187.7,1.31,23.79,Safe
7.28,107.9,0.95,22.82,Safe
7.34,189.6,0.57,21.74,Safe
7.24,147,3.17,21.18,Safe
7.59,191.1,1.15,23.07,Safe
7.22,104.1,2.38,22.33,Safe
7.37,173,2.16,22.56,Safe
7.27,93.9,2.38,22.72,Safe
7.28,93.5,2.04,22.51,Safe
7.54,92.5,1.92,23.29,Safe
7.17,117.2,0.9,22.3,Safe
7.2,165.8,0.21,22.33,Safe
7.44,112.1,1.08,23.48,Safe
6.92,186.2,0.7,22.66,Safe
7.46,172.7,2.09,23.57,Safe
6.87,156.2,3.08,22.03,Safe
7.11,164.2,2.82,23.17,Safe
7.16,140.1,1.18,22.72,Safe
7.17,193,2.61,23.54,Safe
7.22,123.2,1.29,22.79,Safe
6.82,188.8,2.46,22.67,Safe
7.3,111,2.15,23.94,Safe
7.03,100.7,2.51,23.83,Safe
7.03,166.2,1.5,23.98,Safe
7.53,134.6,2.1,22.76,Safe
7.54,152.4,2.22,22.8,Safe
7.11,123.9,2.84,23.45,Safe
7.52,98.3,0.79,22.05,Safe
6.99,158.1,2.36,23.1,Safe
7.28,181.1,1.52,23.3,Safe
7.14,106.9,1.56,23.05,Safe
7.08,169.9,2.56,22.24,Safe
7.15,140,3.6,22.77,Safe
7.45,151.1,0.54,22.32,Safe
7.07,165.3,0.65,23.1,Safe
7.31,153.5,2.53,23.11,Safe
7.18,117.5,0.42,22.97,Safe
7.02,96.3,3.22,22.24,Safe
7.44,129.2,2.26,23.25,Safe
6.91,186.4,2.9,23.25,Safe
7.13,147.9,0.93,23.33,Safe
7,95.8,0.65,23.64,Safe
7.41,109.3,0.93,22.74,Safe
7.27,136.8,1.75,23.66,Safe
7.54,193.9,2.06,22.9,Safe
7.07,165.9,0.41,23.27,Safe
7.45,190.5,1.64,23.39,Safe
6.99,134.5,1.37,23.63,Safe
7.45,170,2.5,23.37,Safe
7.04,95.4,0.13,22.98,Safe
7.19,135.5,1.97,22.9,Safe
7.04,117.2,0.92,22.26,Safe
6.9,173.9,0.3,22.89,Safe
6.87,208.5,2.98,22.61,Safe
6.91,160,1.7,22.46,Safe
7.28,163.8,2.93,23.02,Safe
7.31,185.3,1.92,23.89,Safe
7.09,138.2,2.01,22.7,Safe
7.07,188.5,1.02,22.59,Safe
7.14,136.1,1.8,23.58,Safe
6.89,160.4,2.95,22.46,Safe
7.39,124.6,3.12,23.11,Safe
6.88,178.8,1.14,22.46,Safe
7.32,166.5,1.6,24.1,Safe
6.95,185,0.11,23.48,Safe
7.47,168.5,2.48,22.94,Safe
6.83,136.6,1.88,22.65,Safe
7.27,122.1,1.04,23.08,Safe
7.11,165.2,0.69,23.45,Safe
7.26,117.8,2.42,22.84,Safe
7.31,100.8,0.39,23.21,Safe
7.24,198.3,0.6,23.03,Safe
6.9,118.9,1.87,22.91,Safe
7.34,146.5,3.22,22.57,Safe
7.2,118.6,0,24.56,Safe
7.52,135.5,1.5,23.45,Safe
7.24,139.6,1.95,23.56,Safe
7.11,101.1,2.98,24.15,Safe
7.46,102.9,2.13,22.93,Safe
7.31,123.7,3.07,22.97,Safe
7.36,119.6,1.32,23.87,Safe
6.93,134.2,2.75,24.29,Safe
7.25,136.6,1.34,23.64,Safe
7.14,155.1,1.16,22.9,Safe
7.09,95,1.46,22.9,Safe
6.96,95.5,1.06,23.61,Safe
7.24,139.3,0.77,23.9,Safe
6.86,102.2,1.48,22.96,Safe
6.76,115.2,3.32,22.94,Safe
7.18,187.3,1.34,22.7,Safe
7.21,145.4,2.76,24.12,Safe
6.97,160.7,0.43,24,Safe
7.05,94,0.44,23.48,Safe
7.19,133.7,1.93,23.03,Safe
6.99,206,2.76,23.47,Safe
7.01,113.8,0.83,23.75,Safe
6.92,147.3,2.2,23.68,Safe
6.89,110.3,1.84,22.98,Safe
7.61,182.8,1,24.03,Safe
7.55,207.2,2.06,23.8,Safe
7.45,105.7,1.21,23.84,Safe
7.54,145.1,0.89,23.48,Safe
7.2,196.1,1.3,23.62,Safe
7.41,147.1,1.62,23.57,Safe
7.51,151.2,1.45,22.6,Safe
6.99,111.5,1.86,22.5,Safe
7.47,139.1,1.98,23.37,Safe
7.5,162.7,1.13,23.74,Safe
7.12,146,0.72,22.75,Safe
7.06,118.8,0.17,24.07,Safe
7.6,145.9,0,23.12,Safe
6.76,128.5,1.13,23.9,Safe
7.18,139,1.92,22.82,Safe
6.95,156.6,0.97,23.77,Safe
7.52,181.4,0.34,23.65,Safe
7.55,177.5,1.14,23.03,Safe
6.99,143.3,2.78,22.7,Safe
7,142.2,0.34,23.77,Safe
7.11,120.1,0.42,23.37,Safe
7.39,108.4,0.1,23.31,Safe
7.1,117.5,0.87,23.36,Safe
6.95,117.4,0.87,22.56,Safe
7.34,130.1,1.46,22.9,Safe
6.86,125.4,1.88,23.44,Safe
6.94,116,2.48,22.53,Safe
6.99,132.2,2.43,22.99,Safe
7.02,183.1,1.47,23.9,Safe
6.93,136.6,2.47,23.52,Safe
7.3,103.6,0.77,24.1,Safe
7.65,141.2,2.78,23.07,Safe
6.89,149.3,0.28,22.9,Safe
7.11,160.9,2.66,24.14,Safe
6.98,95.1,1.63,23.89,Safe
7.13,195.6,2.71,23.98,Safe
7.12,195.5,2.72,23.75,Safe
7.23,89,1.25,23.63,Safe
6.79,118.3,2.65,23.9,Safe
6.95,182.7,1.08,24.4,Safe
7.34,165.3,1.04,23.43,Safe
6.77,121.6,2.33,24.66,Safe
7.24,186.5,0.42,24.19,Safe
6.92,137.3,0.45,24.12,Safe
7.57,176.2,1.99,24.18,Safe
7.14,201,1.11,23.86,Safe
6.82,129.2,1.76,24.74,Safe
7.37,118.5,0.45,24.12,Safe
6.92,129.1,0.66,24.03,Safe
7.17,165.7,1.47,23.63,Safe
7.46,158.4,1.74,24.65,Safe
7.59,135.5,0.32,24.88,Safe
7.09,148.1,0.71,25.09,Safe
7.42,113.7,2.41,24.4,Safe
7.03,124,0.45,23.32,Safe
7.25,173.5,2.37,23.67,Safe
7.3,114.3,0.15,24.44,Safe
7.42,113.4,1.88,24.31,Safe
7.41,130.5,0.3,23.06,Safe
7.25,187.9,0.49,23.57,Safe
7.24,135.6,1.68,24.6,Safe
7.28,146.1,0,24.19,Safe
7.13,187.1,2.48,24.51,Safe
7.42,126.6,2.46,24.03,Safe
7.09,122.3,1.03,23.8,Safe
6.8,123,2.32,24.34,Safe
6.85,193.6,1.04,24.13,Safe
6.89,122.1,0.49,23.57,Safe
7.64,100.5,1.4,23.78,Safe
7.46,110.1,0.64,24.17,Safe
6.86,169.4,1.55,23.57,Safe
7.04,167,2.5,24.03,Safe
6.97,96.8,1.69,23.61,Safe
7.29,193.6,1.38,23.78,Safe
7.54,178.1,0.98,24.07,Safe
7.16,185.6,1.95,23.86,Safe
7.17,115.2,2.08,24.41,Safe
7.12,182.7,0.27,24.57,Safe
7.07,128.7,0,23.19,Safe
7.29,138.4,2.03,23.82,Safe
7.12,117.1,1.57,23.98,Safe
7.25,138.1,1.59,23.41,Safe
6.97,155.8,2.21,23.15,Safe
7.4,174.6,1.39,23.41,Safe
7.48,99.2,2.19,23.95,Safe
7.15,104.5,2.66,23.85,Safe
6.98,126.1,0.63,23.07,Safe
7.36,188.1,0.72,23.8,Safe
7.51,177,0.87,23.64,Safe
7.17,169.1,1.21,24.19,Safe
7.19,192.6,1.5,24.52,Safe
7.03,124.7,2.59,23.87,Safe
7.03,188.5,3.45,24.61,Safe
6.96,108.9,3.13,23.41,Safe
6.84,205.8,0.93,24.24,Safe
7.27,124.8,0.47,23.7,Safe
7.34,116.4,2.32,24.42,Safe
7.56,117.9,1.68,25.04,Safe
6.89,189.8,2.67,24.29,Safe
7.44,180.5,2.05,24.91,Safe
7.16,147.9,1.1,25.08,Safe
7.01,160.1,3.19,24.48,Safe
7.09,127.7,1.15,24.73,Safe
7.32,164.1,1.85,24.59,Safe
7.2,149.3,3.36,24.51,Safe
7.51,126.8,2.19,23.87,Safe
7.28,197.1,2.09,24.33,Safe
6.99,182.9,2.62,24.28,Safe
6.97,173.2,2.17,23.49,Safe
6.86,157.1,1.8,24.45,Safe
7.54,107.8,2.56,25,Safe
6.83,96.2,1.15,24.95,Safe
7.39,87.4,0.75,23.61,Safe
7.52,172.3,1.57,23.77,Safe
7.14,182.2,1.38,24.14,Safe
7.14,162.4,1.55,24.45,Safe
7.23,97.8,0,24.28,Safe
7.14,167.3,1.17,24.7,Safe
7.52,184.9,2.55,23.9,Safe
6.97,119.9,1.62,24.79,Safe
7.3,129.7,3.37,25.07,Safe
7.11,174.8,0.78,24.19,Safe
6.79,174.6,0,24.63,Safe
7.35,151.1,1.49,25.22,Safe
7.12,130.6,1.48,25.28,Safe
7.54,178.3,1.24,24.1,Safe
7.53,110,1.55,23.79,Safe
6.97,168.7,3.59,23.87,Safe
7.34,141.4,2.63,25.21,Safe
7.31,188.3,1.43,24.54,Safe
6.9,171,1.28,24.04,Safe
6.89,88.6,1.43,23.94,Safe
6.93,154.9,2.62,24.92,Safe
7.16,157.3,2.3,25.13,Safe
7.21,108,1.15,24.79,Safe
6.9,124.3,0.1,24.36,Safe
7.12,180,2.45,24.04,Safe
7.02,120.4,1.37,25.09,Safe
7.02,137.8,1.4,24.19,Safe
7.2,185.2,1.33,24.23,Safe
6.95,159.9,2.31,24.49,Safe
7.02,192.7,1.37,24.37,Safe
7.44,143.7,1.76,23.2,Safe
7.37,159.1,1.25,24.69,Safe
6.85,137.1,0.54,25.17,Safe
6.87,93.7,2.42,24.41,Safe
7.26,147.7,0.06,25.05,Safe
6.94,165.5,0.29,23.34,Safe
7.46,187.8,0.68,24.01,Safe
6.89,113.4,1.91,24.46,Safe
7.15,167.1,2.78,24.28,Safe
7.42,149.9,2.53,24.51,Safe
6.94,170.1,2.6,24.81,Safe
7.66,147.8,1.5,25.04,Safe
6.94,96.9,1.65,25.59,Safe
7.24,100,2.28,24.29,Safe
7.56,187.1,0.3,25.44,Safe
7.22,170.2,1.52,24.98,Safe
7.07,87.2,1.34,25.58,Safe
7.31,151.4,1.87,25.46,Safe
7.36,129.1,2.01,25.04,Safe
7.34,115.5,1.34,24.87,Safe
6.97,106.2,2.88,24.23,Safe
7.11,119.9,1.01,25.39,Safe
7.57,116.7,2.25,25.6,Safe
7.54,129,0.59,24.66,Safe
7.06,100.8,2.72,25.04,Safe
6.87,120.9,2.47,25.26,Safe
7.36,188,1.13,24.78,Safe
7.09,134.5,1,25.25,Safe
7.37,183.7,2.53,25.88,Safe
6.98,86.6,1.95,25.68,Safe
6.86,119.7,1.24,23.83,Safe
7.31,114.1,2.67,24.7,Safe
7.3,181.5,2.83,25.42,Safe
7.38,190.7,0.45,24.8,Safe
6.95,155.8,1.3,24.88,Safe
7.01,166.4,1.85,24.49,Safe
7.39,175.8,2.43,24.34,Safe
6.96,130.1,0.38,24.84,Safe
7.1,186.2,1.5,24.36,Safe
6.84,172.8,2.67,24.65,Safe
7.21,97.7,0.89,25.12,Safe
7.16,170.6,1.97,25.09,Safe
6.88,196.1,2.28,24.84,Safe
7.31,158.2,0.8,25.28,Safe
6.97,141.4,0.56,25.14,Safe
6.84,171.5,0.28,25.69,Safe
7.47,103.8,0,24.78,Safe
7.26,181.7,2.54,24.92,Safe
6.97,154.1,2.47,24.96,Safe
7.49,149.2,1.29,24.6,Safe
6.82,163.2,0.55,24.91,Safe
7.37,86.9,2.75,25.22,Safe
6.78,118.4,1.76,26.08,Safe
7.04,104.1,0.33,25.72,Safe
6.86,89.9,2.26,24.58,Safe
7.07,184.6,0.98,24.68,Safe
7.07,183.7,2.78,24.15,Safe
6.8,163.2,1.69,25.28,Safe
7.07,92.8,0.64,24.04,Safe
7.06,181.8,0.19,25.66,Safe
7.13,150.8,1.21,24.82,Safe
6.88,147.6,1.26,24.84,Safe
7.08,116.8,1.67,24.93,Safe
6.99,156.4,3.22,25.52,Safe
7.75,102.7,0,24.93,Safe
6.87,150.1,0.86,24.89,Safe
6.99,165.6,0.85,24.99,Safe
6.84,163.8,0.98,24.89,Safe
7.06,93.9,0,24.87,Safe
7.31,145.8,0.86,24.87,Safe
6.88,197.8,1.32,25.28,Safe
7.28,105,2.44,25.12,Safe
7.48,197,0.99,26.25,Safe
7.46,198.9,2.77,26.43,Safe
7.02,179.9,0.79,24.42,Safe
7.48,172.4,1,25.52,Safe
7.26,130,2.17,25.18,Safe
7.4,89.5,0.86,24.94,Safe
7.55,163.9,2.06,25.13,Safe
6.92,111.4,2.37,26.06,Safe
6.94,178.6,2.06,25.85,Safe
7.4,182.3,1.09,25.59,Safe
7.41,144.1,3.54,25.67,Safe
6.82,137.3,0.84,25.18,Safe
7.11,181.5,2.09,25.45,Safe
7.53,185.1,3.67,24.94,Safe
6.92,139.2,0.91,25.81,Safe
7.46,179.4,2.34,25.2,Safe
7.43,97.4,2.36,25.38,Safe
7.45,104.4,2.17,25.23,Safe
7.51,197.9,1.61,25.88,Safe
7.57,116.2,0.52,25.32,Safe
7.51,115.3,2.18,24.97,Safe
7.17,159,1.01,26.03,Safe
7.21,154,1.99,25.25,Safe
7.3,114.8,2.79,26.23,Safe
7.41,153.2,1.47,26.42,Safe
7.23,146.1,1.87,26.16,Safe
7.08,201.5,2.42,25.97,Safe
7.02,173.2,3.32,25.33,Safe
7.16,139,2.11,24.78,Safe
6.88,123.4,1.07,25.83,Safe
7.52,120.5,1.08,25.22,Safe
7.3,175.9,1.65,24.91,Safe
7.24,180.7,0.05,24.95,Safe
7.27,122.1,2.3,25.15,Safe
7.35,110,2.77,26,Safe
7.24,92.3,0.33,25.57,Safe
7.42,133.4,0,25.12,Safe
7.35,199,0,25.44,Safe
7.39,165.6,0.85,25.27,Safe
7.28,176.1,2.44,24.92,Safe
7.21,181.7,0.67,26.66,Safe
7.08,137.5,2.55,24.89,Safe
7.12,172.1,0.02,25.44,Safe
6.82,188,0.49,24.79,Safe
7.03,98.7,1.94,25.55,Safe
7.23,174.6,2.01,25.07,Safe
6.86,149.4,2.03,24.94,Safe
7.5,133,1.11,25.88,Safe
7.04,156.9,0.78,25.32,Safe
6.87,177,3.47,26.13,Safe
7.51,168.7,0.87,25.91,Safe
6.9,123.3,1.51,25.86,Safe
7.2,100.6,1.74,26.09,Safe
7.06,101,0.82,25.59,Safe
7.09,90.2,1.37,25.31,Safe
7.09,177.9,3.37,26.33,Safe
7.39,160.3,3.15,25.22,Safe
6.83,122.4,1.86,25.46,Safe
6.99,188.7,2.11,26.08,Safe
7.17,140.8,0.16,25.65,Safe
7.5,175.2,1.8,25.62,Safe
6.82,156.9,1.94,26.02,Safe
7.05,203.6,2.96,25.98,Safe
7.08,167.4,1.5,26.52,Safe
7.14,95.9,1.97,25.81,Safe
6.73,178.2,0.95,26,Safe
7.41,141.5,2.67,26.28,Safe
7.43,140.1,1.11,26.6,Safe
7.3,106.9,1.94,26.45,Safe
7.14,197.7,3.05,25.9,Safe
7.03,163.3,0,26.59,Safe
6.99,159.2,1.22,24.99,Safe
6.84,186.5,1.04,25.63,Safe
6.91,150.9,3.18,25.89,Safe
7.37,163.4,3.09,26.13,Safe
7.52,138.5,2.16,26.1,Safe
7.43,188.2,1.17,26.04,Safe
7.34,139.8,1.14,25.36,Safe
7.05,104.3,1.25,25.65,Safe
7.07,193.9,1.55,26.09,Safe
7.31,152.7,0,25.21,Safe
7.4,119.8,1.41,26.1,Safe
6.86,169.7,1.67,25.62,Safe
6.98,107.4,1.09,26.51,Safe
6.99,191.6,2.35,25.84,Safe
7.13,150.8,0,25.64,Safe
6.79,128.7,1.86,26.21,Safe
6.94,128,2.83,26.7,Safe
6.88,162.3,1.19,26.28,Safe
6.93,110,1.13,25.48,Safe
7.03,144.2,0.18,24.86,Safe
7.18,88.8,1.33,25.92,Safe
7.45,175.3,0.96,25.37,Safe
7.02,147,3.58,26.45,Safe
7.47,164.4,4.05,25.37,Safe
7.44,182.6,0.35,25.39,Safe
7.33,154.2,2.19,25.75,Safe
7.08,97.1,3.01,25.73,Safe
7.32,128.5,0.75,26.11,Safe
7.15,166.6,2.39,25.75,Safe
6.99,156.7,2.45,26.07,Safe
7.19,99.3,2.45,26.6,Safe
6.83,141.6,1.7,25.79,Safe
6.82,137.9,2.24,25.66,Safe
7.12,125.2,0.85,25.4,Safe
7.26,188.4,0.82,25.13,Safe
7.26,198.8,0.56,26.26,Safe
6.87,120,0.86,26.46,Safe
6.81,91.2,0.71,25.92,Safe
7.42,141.9,2.55,26.1,Safe
6.97,93.1,3,25.73,Safe
7.25,168.3,2.2,25.57,Safe
7.22,189,1.32,25.44,Safe
7.06,143.7,0.86,26.34,Safe
6.78,144.7,1.78,25.01,Safe
7.1,145.1,0.33,26.06,Safe
7.34,141.3,0.9,26.46,Safe
6.96,172.2,0.01,26.11,Safe
7.12,136.7,1.89,27.33,Safe
7.34,158.6,3.23,25.82,Safe
7.49,130.9,1.53,25.23,Safe
7.41,102.2,1.95,25.29,Safe
7.19,122.7,3.11,25.91,Safe
6.95,146.2,2.24,25.94,Safe
7.04,135.9,1.03,25.18,Safe
7.34,103.1,2.03,25.27,Safe
7.16,125.7,1,25.83,Safe
6.94,152.8,0.93,26.06,Safe
7.21,140.7,0.72,26.15,Safe
7.2,101.5,0.65,26.15,Safe
7.46,192.9,1.93,26.12,Safe
7.08,168.7,1.29,25.33,Safe
7.52,90,2.66,25.45,Safe
7.43,198,0.86,25.37,Safe
7.27,129.3,1.36,25.86,Safe
6.95,112.8,2.05,25.57,Safe
7.24,134.7,1.74,26.26,Safe
7.5,126.5,0.75,25.66,Safe
7.5,140.8,1.25,24.28,Safe
7.44,109.2,2.28,25.47,Safe
7.03,173,0.68,25.77,Safe
7.21,133.8,0,25.35,Safe
7.01,91.6,1.01,24.71,Safe
7.31,190.7,0.67,25.75,Safe
7.12,144.1,0.55,25.52,Safe
7.24,160.7,2.54,26,Safe
7.05,98.3,0.3,25.75,Safe
7.07,171.8,1.57,25.47,Safe
6.82,203,1.54,24.68,Safe
6.88,177.9,1.59,24.62,Safe
6.85,128,1.81,26.17,Safe
6.89,127.1,0,25.34,Safe
6.86,162.8,0,24.43,Safe
7.42,156.6,2.35,25.57,Safe
7.08,149,2.71,25.66,Safe
7.02,183,2.89,25.69,Safe
7.3,135,1,25.38,Safe
7.62,105.5,2.12,25.82,Safe
7.09,116.6,2.08,25.08,Safe
7.28,101.1,1.94,24.83,Safe
7.18,92.9,1.76,25.7,Safe
6.84,94,0.73,25.21,Safe
7.37,128.5,1.96,24.65,Safe
7.38,163.4,2.33,25.66,Safe
7.2,109.6,0.35,26.08,Safe
6.83,89.9,1.25,25.51,Safe
7.06,108,2.91,25.37,Safe
7.5,133.3,0.74,25.07,Safe
6.95,106.9,1.48,25.63,Safe
6.8,89.2,2.98,24.45,Safe
7.45,156.1,2.83,25.15,Safe
6.91,133.8,2.84,26.06,Safe
6.92,161.5,1.15,25.02,Safe
7.26,97.5,0.89,26.04,Safe
6.85,96.2,1.26,25.06,Safe
6.99,137,2.2,25.19,Safe
7.13,164.1,1.54,25.58,Safe
7.26,147.9,0,24.41,Safe
7.38,191.4,3.38,25.97,Safe
7.45,121.9,0.92,25.61,Safe
7.23,173.3,0.09,25.96,Safe
7.34,126.3,1.27,24.08,Safe
6.91,159.8,2.41,24.71,Safe
7.54,134.1,1.56,24.78,Safe
7.03,160,2.84,24.74,Safe
7.36,135.7,0.44,25.4,Safe
6.82,185.9,1.54,24.37,Safe
7.5,111.3,0.47,24.62,Safe
7.16,115.6,1.83,25.04,Safe
7.54,93.2,1.86,24.68,Safe
7.17,166.9,1.63,25.54,Safe
7.34,198.2,1.1,24.21,Safe
7.2,194.5,1.39,25.86,Safe
7.24,137.3,1.89,25.05,Safe
6.95,107.7,0.94,24.97,Safe
6.88,149.5,0.36,24.7,Safe
7.55,122.9,2.35,25.78,Safe
7.43,110.7,2.46,24.84,Safe
6.86,195.6,0,24.58,Safe
7.34,99.2,1.55,24.12,Safe
7.3,116.1,2.36,24.05,Safe
7.14,189.9,1.83,24.39,Safe
7.41,162.6,1.15,24.7,Safe
7.08,123.5,0,24.92,Safe
7.59,154,2.13,25.54,Safe
7.18,124.1,1.14,25.44,Safe
7.46,190.9,2.01,24.73,Safe
7.36,97.4,0.53,24.64,Safe
7.45,114.2,0.95,25.28,Safe
7.28,85.6,2.27,24.48,Safe
6.85,159.1,1.98,25.14,Safe
6.95,140.5,0.8,23.68,Safe
7.36,177.7,3.23,25.63,Safe
7.02,142.8,0.67,24.94,Safe
7.45,172.3,2.4,24.55,Safe
6.97,186,1.03,24.72,Safe
7.13,178.3,2.34,24.28,Safe
6.9,117.6,2.52,25.54,Safe
6.92,115.3,1.49,26.44,Safe
6.85,177.4,0.17,25.1,Safe
7.09,195.6,0.73,24.97,Safe
7.38,102.6,0,24.73,Safe
7.36,192.9,0.98,25.15,Safe
7.32,177.1,2.07,25.04,Safe
7.51,109.6,1.6,25.12,Safe
6.98,103.2,1.79,25.05,Safe
7.2,96.8,0.64,25.13,Safe
7.57,147.2,0.14,25.13,Safe
6.86,137.8,1.97,26.01,Safe
7.71,117.8,3.64,24.16,Safe
6.97,126,2.7,24.66,Safe
6.85,112.1,3.17,24.46,Safe
7.36,180.5,3.2,24.65,Safe
7.13,97.8,1.32,24.47,Safe
6.82,178.8,2.69,24.56,Safe
6.86,187.8,2.01,24.37,Safe
7.6,133.7,2.47,24.48,Safe
7.59,140.8,0.67,24.16,Safe
7.48,174.4,2.52,24.05,Safe
6.97,131.5,3.23,25.75,Safe
7.34,168.7,0.46,23.7,Safe
7.28,141.5,1.15,23.74,Safe
7.38,125.2,1.09,24.02,Safe
7.01,170.8,0.26,24.73,Safe
7.5,144.7,0,23.8,Safe
7.54,111.1,0.93,23.85,Safe
7.67,190.7,0.01,23.23,Safe
7.31,191.9,2.57,23.87,Safe
7.31,185.2,2.13,24.03,Safe
7.11,121.7,2.08,23.62,Safe
6.96,108,2.67,23.81,Safe
7.17,93.9,0.94,24.02,Safe
6.96,100.7,1.69,24.46,Safe
7.44,132.2,1.91,23.94,Safe
7.42,112.2,2.66,23.43,Safe
7.43,132.8,0.17,24.09,Safe
7.33,148.5,1.82,24.86,Safe
6.93,108.1,1.02,24.62,Safe
7.51,129.3,2.86,24.6,Safe
7.59,199.1,2.12,23.98,Safe
6.91,144.1,0.7,24.43,Safe
7.31,89.6,1.45,23.81,Safe
7.38,168.1,2.64,24.34,Safe
7.04,126.9,2.27,24.54,Safe
7.01,91.8,0.84,24.17,Safe
7.46,184.3,1.22,22.87,Safe
7.51,185.6,0.91,23.55,Safe
7.13,101.4,1.63,25.98,Safe
7.11,142.6,0.48,24.34,Safe
7.55,187.1,1.58,24.44,Safe
7.13,125.9,2.69,24.24,Safe
7.39,109.5,2.44,24.21,Safe
6.88,154.5,1.18,23.16,Safe
7.21,164.8,0,23.59,Safe
7.02,183.8,1.86,25.32,Safe
7.41,166.1,2.26,24.32,Safe
7.27,160.7,0.72,24.11,Safe
7.23,109.1,1.64,23.9,Safe
7.07,178.2,2.49,23.94,Safe
7.08,120.8,2.93,25.73,Safe
7.01,122.8,2.65,24.23,Safe
7.04,105.1,1.88,24.31,Safe
7.46,165.8,2.33,23.64,Safe
7.42,99.7,1.66,24.76,Safe
7.42,165.3,2.35,23.5,Safe
7.41,185.8,1.1,24.15,Safe
7.46,133,0.08,24.8,Safe
7.55,163.7,1.37,24.53,Safe
7,125.3,0.84,24.79,Safe
7.42,146.4,1.48,24.3,Safe
6.97,97.5,0.62,24.44,Safe
7.59,106.1,1.15,23.89,Safe
7.01,177.4,3.06,24.49,Safe
7.16,100.3,2.34,22.96,Safe
7.36,185.8,0.96,24.14,Safe
7.27,143.7,1.75,25.09,Safe
6.98,102.3,0.47,25.68,Safe
6.93,175.2,0.55,24.26,Safe
7.45,138.4,0.04,24.26,Safe
6.9,159.2,1.9,24.25,Safe
6.77,189.7,0.02,24.57,Safe
7.41,122.1,0.32,24.64,Safe
7.14,163.8,1.67,24.11,Safe
7.1,172.5,2.94,24.25,Safe
7.03,159.5,1.22,24.03,Safe
7.08,150.1,1.93,22.38,Safe
7.41,187.7,1.95,24.25,Safe
7.2,161.5,2.32,22.7,Safe
7.45,165.4,0.78,24.03,Safe
7.21,112,0,24.02,Safe
7.36,150.3,3.32,23.28,Safe
7.57,147,1.53,24.06,Safe
7.28,98.5,1.55,23.09,Safe
6.9,192.3,0.77,24.53,Safe
7.19,118.6,0.29,23.59,Safe
6.95,127.1,1.73,23.8,Safe
7.5,146.3,1.05,23.5,Safe
6.87,122.5,2.26,23.12,Safe
6.83,118.7,0.47,24.3,Safe
7.33,147,0.11,24.5,Safe
6.73,90.2,1.49,23.19,Safe
7.28,120.1,2.6,23.66,Safe
7.42,181.7,1.86,23.21,Safe
7.52,201.1,1.16,24.17,Safe
6.86,122.6,2.18,23.95,Safe
7.08,188,2.24,22.97,Safe
7.51,103.6,2.43,23.73,Safe
7.47,96.6,2.3,24.04,Safe
6.81,122.1,3.34,24.75,Safe
6.79,88.4,0.1,24.19,Safe
7.52,107.7,1.29,24.01,Safe
6.77,142.1,3.84,23.01,Safe
7.06,180.2,2.33,24.51,Safe
7.08,132,1.05,24.88,Safe
7.2,100.7,0.93,23.49,Safe
6.97,104,2.96,23.31,Safe
7.09,91.2,3.29,23.73,Safe
7.56,149.7,2.08,23.15,Safe
6.87,142.5,2.83,24.52,Safe
6.97,188.2,2.16,23.87,Safe
6.94,108.7,0.03,23.82,Safe
7.12,174,0.82,23.54,Safe
7.27,165.6,0.66,23.67,Safe
6.89,177.9,0.69,24.27,Safe
7.32,121.5,1.93,23.4,Safe
7.23,165.9,0.89,23.6,Safe
7.46,121.9,1.35,23.43,Safe
7.05,129.3,2.56,23.93,Safe
7.62,154.7,1.61,24.11,Safe
7.16,91.3,3.25,23.63,Safe
7.52,180.7,0,23.19,Safe
7.01,107.3,1.46,24.47,Safe
7.33,146,2.78,23.55,Safe
6.96,178.3,1.71,23.99,Safe
7.36,138.9,1.23,24.22,Safe
7.37,188.1,1.06,23.31,Safe
7.39,104.2,0.42,23.29,Safe
6.97,186.2,0.81,24.05,Safe
7.27,151.6,1.79,23.13,Safe
7.18,104.4,1.24,23.69,Safe
7.51,160.4,3.32,23.22,Safe
7.52,121.9,0.45,24.02,Safe
7.45,104.5,2.52,23.54,Safe
6.99,146.7,0,23.45,Safe
7.11,136.8,1.35,23.29,Safe
7.46,116.6,0.88,23.84,Safe
7,158.3,2.22,23.65,Safe
6.99,89.4,1.21,23.68,Safe
7.62,119,0.35,22.64,Safe
7.04,122.2,1.76,22.2,Safe
7.07,183.1,2.01,23.66,Safe
7.26,190.4,1.53,23.17,Safe
6.98,117.4,3.26,23.4,Safe
6.95,149.6,0.94,24.14,Safe
6.89,186.2,0.57,22.39,Safe
6.79,137.5,1.58,23.14,Safe
7.14,168.3,3.92,22.73,Safe
7.32,120.3,0.3,23.3,Safe
7.06,93.1,2.37,24.15,Safe
7.53,138.5,0.55,23.55,Safe
7.53,156.1,1.31,23.54,Safe
7.09,158.5,0.97,24.11,Safe
7.38,173.2,1.79,23.81,Safe
6.8,101.8,1.54,22.58,Safe
7.54,139.2,1.7,22.81,Safe
7.21,178.4,1.45,23.79,Safe
6.91,189.8,1.06,23.3,Safe
7.35,156.7,3.2,23.73,Safe
